County,Beds
Oktibbeha,88.0
Panola,45.0
Pearl River,73.0
Perry,22.0
Pike,177.0
Pontotoc,25.0
Prentiss,39.0
Rankin,608.0
Scott,25.0
Sharkey,19.0
Simpson,69.0
Smith,19.0
Stone,25.0
Sunflower,126.0
Tallahatchie,9.0
Tippah,25.0
Tishomingo,48.0
Union,92.0
Walthall,25.0
Warren,336.0
Washington,216.0
Wayne,49.0
Webster,38.0
Winston,14.0
Yalobusha,26.0
Yazoo,25.0
Beaverhead,18.0
Big Horn,49.0
Blaine,6.0
Broadwater,25.0
Carbon,10.0
Carter,25.0
Cascade,332.0
Chouteau,33.0
Custer,25.0
Daniels,25.0
Dawson,25.0
Deer Lodge,199.0
Fallon,25.0
Fergus,23.0
Flathead,220.0
Gallatin,87.0
Garfield,4.0
Glacier,46.0
Granite,25.0
Hill,49.0
Lake,47.0
Lewis and Clark,131.0
Liberty,25.0
Lincoln,25.0
Madison,20.0
McCone,25.0
Meagher,25.0
Mineral,24.0
Missoula,299.0
Musselshell,25.0
Park,25.0
Phillips,6.0
Pondera,20.0
Powell,16.0
Prairie,22.0
Ravalli,25.0
Richland,25.0
Roosevelt,75.0
Rosebud,25.0
Sanders,16.0
Sheridan,19.0
Silver Bow,71.0
Stillwater,10.0
Sweet Grass,25.0
Teton,25.0
Toole,21.0
Valley,25.0
Wheatland,25.0
Yellowstone,577.0
Alamance,176.0
Alleghany,25.0
Anson,15.0
Ashe,25.0
Avery,21.0
Beaufort,72.0
Bertie,6.0
Bladen,25.0
Brunswick,126.0
Buncombe,849.0
Burke,587.0
Cabarrus,447.0
Caldwell,110.0
Camden,91.0
Carteret,99.0
Catawba,426.0
Chatham,25.0
Cherokee,25.0
Chowan,25.0
Cleveland,292.0
Columbus,154.0
Craven,286.0
Cumberland,694.0
Dare,21.0
Davidson,154.0
Davie,50.0
Duplin,49.0
Durham,1430.0
Edgecombe,101.0
Forsyth,1990.0
Gaston,383.0
Granville,1342.0
Guilford,955.0
Halifax,106.0
Harnett,268.0
Haywood,122.0
Henderson,233.0
Hertford,70.0
Hoke,61.0
Iredell,406.0
Jackson,82.0
Johnston,179.0
Lee,127.0
Lenoir,1086.0
Lincoln,101.0
Macon,49.0
Martin,43.0
McDowell,49.0
Mecklenburg,2388.0
Mitchell,25.0
Montgomery,4.0
Moore,412.0
Nash,372.0
New Hanover,714.0
Onslow,306.0
Orange,886.0
Pender,25.0
Person,38.0
Pitt,930.0
Polk,25.0
Randolph,145.0
Robeson,256.0
Rockingham,108.0
Rowan,169.0
Rutherford,111.0
Sampson,71.0
Scotland,97.0
Stanly,97.0
Stokes,25.0
Surry,181.0
Swain,44.0
Transylvania,25.0
Union,182.0
Vance,91.0
Wake,1995.0
Washington,25.0
Watauga,95.0
Wayne,514.0
Wilkes,93.0
Wilson,270.0
Adams,25.0
Barnes,25.0
Bottineau,25.0
Bowman,23.0
Burleigh,386.0
Cass,1352.0
Cavalier,20.0
Dickey,20.0
Divide,15.0
Emmons,14.0
Foster,25.0
Grand Forks,384.0
Grant,30.0
Griggs,18.0
McIntosh,44.0
McKenzie,24.0
McLean,47.0
Mercer,13.0
Morton,41.0
Mountrail,11.0
Nelson,19.0
Pembina,20.0
Pierce,25.0
Ramsey,25.0
Ransom,25.0
Rolette,52.0
Sioux,12.0
Stark,25.0
Stutsman,131.0
Towner,20.0
Traill,41.0
Walsh,28.0
Ward,190.0
Wells,25.0
Williams,50.0
Adams,127.0
Antelope,23.0
Boone,25.0
Box Butte,25.0
Boyd,20.0
Brown,23.0
Buffalo,362.0
Burt,16.0
Butler,20.0
Chase,22.0
Cherry,25.0
Cheyenne,19.0
Colfax,25.0
Cuming,25.0
Custer,35.0
Dawes,25.0
Dawson,57.0
Dodge,50.0
Douglas,2194.0
Dundy,14.0
Fillmore,20.0
Franklin,14.0
Furnas,20.0
Gage,25.0
Garden,10.0
Hall,140.0
Hamilton,14.0
Harlan,19.0
Holt,42.0
Howard,16.0
Jefferson,17.0
Johnson,18.0
Kearney,10.0
Keith,18.0
Kimball,15.0
Knox,23.0
Lancaster,1126.0
Lincoln,97.0
Madison,131.0
Merrick,20.0
Morrill,20.0
Nance,19.0
Nemaha,16.0
Nuckolls,25.0
Otoe,28.0
Pawnee,17.0
Perkins,20.0
Phelps,25.0
Pierce,35.0
Platte,47.0
Polk,16.0
Red Willow,25.0
Richardson,24.0
Rock,24.0
Saline,43.0
Sarpy,89.0
Saunders,16.0
Scotts Bluff,122.0
Seward,24.0
Sheridan,25.0
Thayer,19.0
Thurston,34.0
Valley,16.0
Washington,21.0
Wayne,25.0
Webster,13.0
York,38.0
Belknap,86.0
Carroll,50.0
Cheshire,86.0
Coos,66.0
Grafton,500.0
Hillsborough,814.0
Merrimack,474.0
Rockingham,506.0
Strafford,182.0
Sullivan,25.0
Atlantic,821.0
Bergen,1934.0
Burlington,795.0
Camden,1833.0
Cape May,149.0
Cumberland,321.0
Essex,2515.0
Gloucester,233.0
Hudson,1086.0
Hunterdon,170.0
Mercer,1405.0
Middlesex,1906.0
Monmouth,1643.0
Morris,1630.0
Ocean,1325.0
Passaic,823.0
Salem,209.0
Somerset,820.0
Sussex,130.0
Union,951.0
Warren,92.0
Bernalillo,1937.0
Chaves,204.0
Cibola,31.0
Colfax,25.0
Curry,106.0
Doña Ana,663.0
Eddy,130.0
Grant,32.0
Guadalupe,10.0
Lea,86.0
Lincoln,25.0
Los Alamos,47.0
Luna,25.0
McKinley,148.0
Otero,56.0
Quay,25.0
Rio Arriba,52.0
Roosevelt,20.0
San Juan,260.0
San Miguel,226.0
Sandoval,60.0
Santa Fe,225.0
Sierra,11.0
Socorro,24.0
Taos,6.0
Union,25.0
Carson City,219.0
Churchill,25.0
Clark,5937.0
Douglas,23.0
Elko,59.0
Humboldt,25.0
Lander,5.0
Lincoln,4.0
Lyon,14.0
Mineral,11.0
Nye,25.0
Pershing,13.0
Washoe,1390.0
White Pine,25.0
Albany,1478.0
Allegany,69.0
Bronx,3058.0
Broome,492.0
Cattaraugus,260.0
Cayuga,85.0
Chautauqua,208.0
Chemung,325.0
Chenango,58.0
Clinton,300.0
Columbia,95.0
Cortland,103.0
Delaware,56.0
Dutchess,874.0
Erie,2265.0
Essex,25.0
Franklin,131.0
Fulton,58.0
Genesee,131.0
Herkimer,25.0
Jefferson,287.0
Kings,4320.0
Lewis,25.0
Livingston,67.0
Madison,126.0
Monroe,2038.0
Montgomery,100.0
Nassau,3598.0
New York,7931.0
Niagara,411.0
Oneida,737.0
Onondaga,1736.0
Ontario,307.0
Orange,966.0
Orleans,25.0
Oswego,132.0
Otsego,227.0
Putnam,140.0
Queens,2663.0
Rensselaer,257.0
Richmond,1060.0
Rockland,1144.0
Saratoga,259.0
Schenectady,351.0
Schoharie,40.0
Schuyler,25.0
St. Lawrence,384.0
Steuben,95.0
Suffolk,3509.0
Sullivan,99.0
Tompkins,163.0
Ulster,209.0
Warren,361.0
Wayne,101.0
Westchester,2427.0
Wyoming,50.0
Yates,25.0
Adams,25.0
Allen,529.0
Ashland,39.0
Ashtabula,286.0
Athens,156.0
Auglaize,36.0
Belmont,165.0
Butler,631.0
Champaign,25.0
Clark,270.0
Clermont,147.0
Clinton,89.0
Columbiana,219.0
Coshocton,56.0
Crawford,50.0
Cuyahoga,5395.0
Darke,40.0
Defiance,73.0
Delaware,124.0
Erie,183.0
Fairfield,223.0
Fayette,25.0
Franklin,5508.0
Fulton,25.0
Gallia,157.0
Geauga,124.0
Greene,235.0
Guernsey,156.0
Hamilton,3729.0
Hancock,166.0
Hardin,25.0
Harrison,25.0
Henry,25.0
Highland,50.0
Hocking,25.0
Holmes,41.0
Huron,98.0
Jackson,24.0
Jefferson,171.0
Knox,65.0
Lake,471.0
Lawrence,475.0
Licking,262.0
Logan,39.0
Lorain,838.0
Lucas,2203.0
Madison,45.0
Mahoning,662.0
Marion,174.0
Medina,150.0
Mercer,42.0
Miami,119.0
Monroe,48.0
Montgomery,1977.0
Morrow,23.0
Muskingum,282.0
Ottawa,25.0
Paulding,25.0
Pickaway,83.0
Pike,25.0
Portage,191.0
Richland,279.0
Ross,189.0
Sandusky,152.0
Scioto,202.0
Seneca,69.0
Shelby,61.0
Stark,1006.0
Summit,2096.0
Trumbull,517.0
Tuscarawas,153.0
Union,60.0
Van Wert,145.0
Warren,265.0
Washington,213.0
Wayne,129.0
Williams,100.0
Wood,149.0
Wyandot,24.0
Adair,30.0
Atoka,25.0
Beaver,24.0
Beckham,34.0
Blaine,42.0
Bryan,140.0
Caddo,42.0
Canadian,74.0
Carter,162.0
Cherokee,122.0
Choctaw,34.0
Cimarron,25.0
Cleveland,533.0
Coal,20.0
Comanche,365.0
Craig,235.0
Creek,95.0
Custer,70.0
Delaware,58.0
Dewey,18.0
Ellis,25.0
Garfield,349.0
Garvin,26.0
Grady,49.0
Greer,18.0
Harmon,22.0
Harper,15.0
Hughes,25.0
Jackson,49.0
Jefferson,25.0
Johnston,25.0
Kay,82.0
Kingfisher,25.0
Kiowa,38.0
Latimer,43.0
Le Flore,25.0
Lincoln,50.0
Logan,25.0
Love,25.0
Major,25.0
Marshall,21.0
Mayes,24.0
McClain,39.0
McCurtain,77.0
Murray,25.0
Muskogee,328.0
Noble,26.0
Nowata,25.0
Okfuskee,25.0
Oklahoma,3683.0
Okmulgee,107.0
Osage,40.0
Ottawa,144.0
Pawnee,14.0
Payne,161.0
Pittsburg,132.0
Pontotoc,240.0
Pottawatomie,111.0
Pushmataha,42.0
Roger Mills,15.0
Rogers,100.0
Seminole,32.0
Sequoyah,41.0
Stephens,86.0
Texas,47.0
Tulsa,3026.0
Wagoner,100.0
Washington,81.0
Washita,14.0
Woods,25.0
Woodward,64.0
Baker,21.0
Benton,169.0
Clackamas,570.0
Clatsop,48.0
Coos,166.0
Crook,16.0
Curry,16.0
Deschutes,270.0
Douglas,156.0
Grant,14.0
Harney,19.0
Hood River,25.0
Jackson,458.0
Jefferson,25.0
Josephine,121.0
Klamath,105.0
Lake,24.0
Lane,721.0
Lincoln,50.0
Linn,92.0
Malheur,44.0
Marion,1067.0
Morrow,21.0
Multnomah,2131.0
Polk,15.0
Tillamook,25.0
Umatilla,66.0
Union,25.0
Wallowa,23.0
Wasco,43.0
Washington,872.0
Yamhill,90.0
Adams,76.0
Allegheny,6082.0
Armstrong,131.0
Beaver,229.0
Bedford,40.0
Berks,1142.0
Blair,496.0
Bradford,310.0
Bucks,993.0
Butler,267.0
Cambria,423.0
Carbon,68.0
Centre,432.0
Chester,1133.0
Clarion,169.0
Clearfield,241.0
Clinton,63.0
Columbia,143.0
Crawford,170.0
Cumberland,1194.0
Dauphin,679.0
Delaware,1032.0
Elk,25.0
Erie,1040.0
Fayette,210.0
Franklin,411.0
Fulton,21.0
Greene,23.0
Huntingdon,57.0
Indiana,134.0
Jefferson,69.0
Lackawanna,855.0
Lancaster,936.0
Lawrence,206.0
Lebanon,393.0
Lehigh,1398.0
Luzerne,974.0
Lycoming,303.0
McKean,138.0
Mercer,404.0
Mifflin,109.0
Monroe,295.0
Montgomery,2884.0
Montour,596.0
Northampton,1000.0
Northumberland,161.0
Philadelphia,6344.0
Potter,25.0
Schuylkill,266.0
Somerset,148.0
Susquehanna,50.0
Tioga,25.0
Union,123.0
Venango,118.0
Warren,237.0
Washington,448.0
Wayne,76.0
Westmoreland,794.0
Wyoming,44.0
York,808.0
Aguadilla,124.0
Aibonito,150.0
Arecibo,292.0
Bayamón,584.0
Cabo Rojo,43.0
Caguas,665.0
Carolina,284.0
Cayey,60.0
Cidra,216.0
Fajardo,222.0
Humacao,296.0
Manatí,513.0
Mayagüez,158.0
Moca,106.0
Ponce,762.0
San Germán,232.0
San Juan,2007.0
Utuado,7.0
Vega Baja,130.0
Yauco,84.0
Kent,323.0
Newport,102.0
Providence,2413.0
Washington,154.0
Abbeville,25.0
Aiken,204.0
Allendale,25.0
Anderson,460.0
Beaufort,318.0
Charleston,1830.0
Cherokee,44.0
Chester,36.0
Chesterfield,48.0
Clarendon,49.0
Colleton,102.0
Darlington,152.0
Dillon,72.0
Edgefield,25.0
Florence,1011.0
Georgetown,422.0
Greenville,1419.0
Greenwood,332.0
Hampton,32.0
Horry,741.0
Jasper,41.0
Kershaw,121.0
Lancaster,208.0
Laurens,43.0
Lexington,558.0
Marion,94.0
Newberry,48.0
Oconee,122.0
Orangeburg,266.0
Pickens,131.0
Richland,2054.0
Spartanburg,796.0
Sumter,173.0
Union,49.0
Williamsburg,25.0
York,318.0
Beadle,25.0
Bennett,14.0
Bon Homme,50.0
Brookings,49.0
Brown,97.0
Brule,25.0
Charles Mix,37.0
Clay,25.0
Codington,81.0
Custer,11.0
Davison,50.0
Day,20.0
Deuel,10.0
Douglas,11.0
Edmunds,12.0
Fall River,25.0
Faulk,12.0
Grant,25.0
Gregory,41.0
Haakon,18.0
Hand,25.0
Hughes,50.0
Hutchinson,50.0
Jerauld,16.0
Kingsbury,6.0
Lake,22.0
Lawrence,45.0
Lincoln,64.0
Marshall,20.0
McPherson,4.0
Meade,79.0
Minnehaha,1036.0
Moody,18.0
Pennington,403.0
Potter,10.0
Roberts,25.0
Shannon,45.0
Spink,23.0
Todd,35.0
Tripp,25.0
Turner,12.0
Union,38.0
Walworth,25.0
Yankton,168.0
Ziebach,8.0
Anderson,220.0
Bedford,44.0
Benton,25.0
Bledsoe,25.0
Blount,193.0
Bradley,183.0
Campbell,81.0
Cannon,30.0
Carroll,42.0
Carter,109.0
Cheatham,12.0
Claiborne,33.0
Cocke,32.0
Coffee,123.0
Cumberland,73.0
Davidson,3131.0
DeKalb,52.0
Decatur,40.0
Dickson,91.0
Dyer,109.0
Franklin,131.0
Gibson,47.0
Giles,81.0
Greene,189.0
Hamblen,116.0
Hamilton,1703.0
Hancock,10.0
Hardeman,175.0
Hardin,49.0
Hawkins,32.0
Henderson,36.0
Henry,64.0
Hickman,25.0
Houston,25.0
Humphreys,25.0
Jefferson,58.0
Johnson,2.0
Knox,1805.0
Lauderdale,25.0
Lawrence,89.0
Lincoln,49.0
Loudon,30.0
Macon,25.0
Madison,870.0
Marshall,25.0
Maury,281.0
McMinn,88.0
Monroe,59.0
Montgomery,301.0
Obion,63.0
Overton,90.0
Perry,21.0
Putnam,247.0
Rhea,25.0
Roane,52.0
Robertson,109.0
Rutherford,759.0
Scott,25.0
Sevier,58.0
Shelby,3283.0
Smith,25.0
Sullivan,851.0
Sumner,255.0
Tipton,47.0
Trousdale,25.0
Unicoi,10.0
Warren,100.0
Washington,561.0
Wayne,30.0
Weakley,94.0
White,32.0
Williamson,305.0
Wilson,170.0
Anderson,150.0
Andrews,30.0
Angelina,367.0
Atascosa,67.0
Austin,32.0
Bailey,25.0
Bastrop,8.0
Baylor,27.0
Bee,40.0
Bell,1129.0
Bexar,6439.0
Bosque,25.0
Bowie,679.0
Brazoria,183.0
Brazos,579.0
Brewster,25.0
Brown,77.0
Burleson,15.0
Burnet,71.0
Caldwell,57.0
Calhoun,25.0
Cameron,1173.0
Camp,25.0
Castro,17.0
Chambers,14.0
Cherokee,346.0
Childress,39.0
Clay,25.0
Cochran,18.0
Coleman,25.0
Collin,2169.0
Collingsworth,13.0
Colorado,61.0
Comal,192.0
Comanche,25.0
Concho,16.0
Cooke,54.0
Coryell,25.0
Crane,25.0
Crosby,25.0
Culberson,14.0
Dallas,7065.0
Dawson,22.0
DeWitt,44.0
Deaf Smith,30.0
Denton,1272.0
Dimmit,25.0
Eastland,36.0
Ector,510.0
El Paso,2265.0
Ellis,166.0
Erath,50.0
Falls,36.0
Fannin,317.0
Fayette,38.0
Fisher,14.0
Floyd,25.0
Fort Bend,1062.0
Freestone,37.0
Frio,24.0
Gaines,25.0
Galveston,723.0
Gillespie,57.0
Gonzales,34.0
Gray,97.0
Grayson,663.0
Gregg,644.0
Grimes,18.0
Guadalupe,117.0
Hale,69.0
Hamilton,42.0
Hansford,14.0
Hardeman,24.0
Harris,12809.0
Harrison,149.0
Hartley,21.0
Haskell,25.0
Hays,391.0
Hemphill,15.0
Henderson,127.0
Hidalgo,1185.0
Hill,25.0
Hockley,48.0
Hood,48.0
Hopkins,56.0
Houston,25.0
Howard,275.0
Hunt,176.0
Hutchinson,25.0
Jack,17.0
Jackson,25.0
Jasper,40.0
Jefferson,1387.0
Jim Wells,72.0
Johnson,109.0
Jones,7.0
Karnes,25.0
Kaufman,351.0
Kerr,302.0
Kimble,15.0
Kleberg,50.0
Knox,28.0
Lamar,154.0
Lamb,42.0
Lampasas,25.0
Lavaca,50.0
Liberty,41.0
Limestone,69.0
Llano,25.0
Lubbock,1954.0
Lynn,25.0
Madison,15.0
Martin,18.0
Matagorda,63.0
Maverick,86.0
McCulloch,14.0
McLennan,437.0
Medina,25.0
Midland,370.0
Mitchell,25.0
Montague,55.0
Montgomery,1698.0
Moore,19.0
Nacogdoches,297.0
Navarro,49.0
Nolan,39.0
Nueces,1024.0
Ochiltree,25.0
Palo Pinto,48.0
Panola,42.0
Parker,108.0
Parmer,25.0
Pecos,39.0
Polk,52.0
Potter,818.0
Reagan,7.0
Reeves,25.0
Refugio,20.0
Rockwall,182.0
Runnels,31.0
Rusk,41.0
Sabine,25.0
San Augustine,9.0
Schleicher,14.0
Scurry,25.0
Smith,1632.0
Somervell,16.0
Starr,48.0
Stephens,14.0
Stonewall,20.0
Sutton,12.0
Swisher,20.0
Tarrant,5941.0
Taylor,733.0
Terry,26.0
Throckmorton,14.0
Titus,49.0
Tom Green,524.0
Travis,2859.0
Tyler,25.0
Upton,26.0
Uvalde,21.0
Val Verde,47.0
Victoria,570.0
Walker,90.0
Ward,21.0
Washington,50.0
Webb,515.0
Wharton,26.0
Wheeler,41.0
Wichita,812.0
Wilbarger,47.0
Williamson,843.0
Wilson,44.0
Winkler,19.0
Wise,49.0
Wood,48.0
Yoakum,24.0
Young,50.0
Beaver,30.0
Box Elder,56.0
Cache,152.0
Carbon,49.0
Davis,310.0
Duchesne,35.0
Garfield,15.0
Grand,17.0
Iron,48.0
Juab,25.0
Kane,25.0
Millard,37.0
Salt Lake,2799.0
San Juan,32.0
Sanpete,43.0
Sevier,24.0
Summit,37.0
Tooele,36.0
Uintah,39.0
Utah,1187.0
Wasatch,19.0
Washington,164.0
Weber,457.0
Accomack,46.0
Albemarle,240.0
Alleghany,95.0
Arlington,305.0
Augusta,341.0
Bath,14.0
Bedford,34.0
Bristol,25.0
Buchanan,49.0
Charlottesville,585.0
Chesapeake,310.0
Chesterfield,450.0
Culpeper,70.0
Danville,367.0
Dickenson,2.0
Dinwiddie,130.0
Emporia,70.0
Essex,67.0
Fairfax,2920.0
Fauquier,97.0
Franklin,37.0
Franklin,75.0
Frederick,389.0
Fredericksburg,479.0
Galax,141.0
Giles,25.0
Gloucester,67.0
Halifax,107.0
Hampton,311.0
Hanover,40.0
Henrico,1143.0
Hopewell,107.0
James City,236.0
Lancaster,25.0
Lexington,25.0
Loudoun,429.0
Lynchburg,394.0
Manassas,94.0
Mecklenburg,70.0
Montgomery,198.0
New Kent,94.0
Newport News,605.0
Norfolk,905.0
Norton,65.0
Nottoway,180.0
Page,25.0
Portsmouth,417.0
Prince Edward,86.0
Prince George,488.0
Prince William,207.0
Pulaski,92.0
Richmond,915.0
Roanoke,270.0
Roanoke,621.0
Rockingham,238.0
Russell,49.0
Salem,330.0
Shenandoah,25.0
Smyth,139.0
Spotsylvania,105.0
Stafford,90.0
Suffolk,155.0
Tazewell,207.0
Virginia Beach,816.0
Warren,46.0
Washington,115.0
Williamsburg,40.0
Wise,68.0
Wythe,92.0
York,50.0
Addison,25.0
Bennington,78.0
Caledonia,25.0
Chittenden,415.0
Franklin,53.0
Lamoille,25.0
Orange,25.0
Orleans,25.0
Rutland,124.0
Washington,101.0
Windham,185.0
Windsor,50.0
Adams,28.0
Asotin,25.0
Benton,416.0
Chelan,221.0
Clallam,103.0
Clark,746.0
Columbia,25.0
Cowlitz,166.0
Ferry,25.0
Franklin,25.0
Garfield,25.0
Grant,123.0
Grays Harbor,59.0
Island,30.0
Jefferson,25.0
King,4217.0
Kitsap,334.0
Kittitas,25.0
Klickitat,28.0
Lewis,152.0
Lincoln,50.0
Mason,25.0
Okanogan,71.0
Pacific,35.0
Pend Oreille,20.0
Pierce,2401.0
San Juan,10.0
Skagit,205.0
Snohomish,863.0
Spokane,1896.0
Stevens,48.0
Thurston,411.0
Walla Walla,120.0
Whatcom,207.0
Whitman,50.0
Yakima,258.0
Adams,25.0
Ashland,25.0
Barron,90.0
Brown,828.0
Burnett,25.0
Calumet,25.0
Chippewa,127.0
Clark,49.0
Columbia,68.0
Crawford,24.0
Dane,1790.0
Dodge,245.0
Door,25.0
Douglas,25.0
Dunn,25.0
Eau Claire,418.0
Fond du Lac,158.0
Grant,75.0
Green,58.0
Green Lake,25.0
Iowa,25.0
Jackson,25.0
Jefferson,49.0
Juneau,40.0
Kenosha,274.0
La Crosse,395.0
Lafayette,25.0
Langlade,25.0
Lincoln,40.0
Manitowoc,127.0
Marathon,338.0
Marinette,55.0
Milwaukee,3152.0
Monroe,50.0
Oconto,32.0
Oneida,102.0
Outagamie,466.0
Ozaukee,246.0
Pepin,25.0
Polk,70.0
Portage,84.0
Price,24.0
Racine,343.0
Richland,25.0
Rock,367.0
Rusk,25.0
Sauk,104.0
Sawyer,25.0
Shawano,25.0
Sheboygan,189.0
St. Croix,100.0
Taylor,25.0
Trempealeau,43.0
Vernon,50.0
Vilas,14.0
Walworth,79.0
Washburn,45.0
Washington,105.0
Waukesha,710.0
Waupaca,25.0
Waushara,25.0
Winnebago,687.0
Wood,291.0
Barbour,12.0
Berkeley,146.0
Boone,25.0
Braxton,25.0
Brooke,199.0
Cabell,968.0
Calhoun,25.0
Fayette,25.0
Grant,25.0
Greenbrier,92.0
Hampshire,14.0
Harrison,423.0
Jackson,25.0
Jefferson,25.0
Kanawha,1137.0
Lewis,220.0
Logan,132.0
Marion,89.0
Marshall,59.0
Mason,94.0
McDowell,49.0
Mercer,206.0
Mineral,25.0
Mingo,27.0
Monongalia,890.0
Morgan,25.0
Nicholas,49.0
Ohio,317.0
Pocahontas,25.0
Preston,25.0
Raleigh,413.0
Randolph,90.0
Roane,25.0
Summers,25.0
Taylor,25.0
Tyler,25.0
Upshur,25.0
Wayne,80.0
Webster,25.0
Wood,270.0
Albany,66.0
Big Horn,22.0
Campbell,66.0
Carbon,25.0
Converse,25.0
Crook,16.0
Fremont,133.0
Goshen,25.0
Hot Springs,25.0
Johnson,22.0
Laramie,200.0
Lincoln,35.0
Natrona,372.0
Niobrara,24.0
Park,50.0
Platte,25.0
Sheridan,71.0
Sweetwater,74.0
Teton,48.0
Uinta,105.0
Washakie,18.0
Weston,12.0